171,-183,-91,29,102,-142,168,-30,183,113|8,153,65,-112,125,71,-191,32,199,-189
39,-103,106,-161,23,153,26,139|-60,115,108,-70,-37,4,105,158
-53,160,-73,154,149,-62|-62,-172,39,4,-26,-2
-88,123,16,167|-12,43,-164,0
-40,-41,-22|-106,96,28
-114,192,86,126,-22|196,-34,-53,-56,27
-199,-164,23,-87,-58,71|17,-6,145,-99,-166,152
-92,-61,77,-184|-122,-93,122,-190
-137,-176,156,4,-192|-4,-43,84,80,-130
-78,197,-173,-160,-147,-29|-53,-70,50,102,135,87
21|-49
-24,150|-61,174
-56|25
-101,-137,-53,38,-101,199,-128,18|-140,-184,-119,124,53,-195,-51,173
-153,-93,138,-190,-139,-61,162,-80,100,110|89,0,-157,142,-58,194,62,-73,-96,78
190,9,138,175,-79,183,44,-141,140|-64,129,197,-153,-63,185,-183,180,-46
93,64|-173,19
94,155,-106|-63,51,149
-117,-13,97,12,157,140,11|128,-66,-109,123,-102,-197,23
-200,126,44,-119,-43,150,-69,79|-173,-147,-172,-72,78,-176,162,-36
-59,135|-52,14
126,-21,181,0,64|96,174,181,97,-178
-136,70,-40,63,115,-184,-111,164|-63,-45,-27,147,3,56,-69,178
51,43,77,-134,126|-96,-27,-11,102,-63
27|-96
-57,-9|18,11
-172|-187
134,9,78,44,-142,-41,123,-174|-139,-64,-100,62,32,72,88,9
-17,104,167,134,28,-158|-26,-55,12,58,124,84
-157,87,113|-147,-119,-178
183|19
192,-92,-181,71,-59,115|35,112,107,-37,-165,-147
142,-149,-167,-47,-13,140,-113,-58,-97,-174|-108,-19,-110,157,-166,-43,196,90,195,49
-5,-190,183,-99,99,-88,135,-123|133,26,-140,-59,182,-30,188,-122
116,-176,69,-13,184,-136|-40,153,-71,-168,-27,128
-151,147,158,71,-12,69,-108|-72,189,-25,176,-191,-197,77
-125,1,34|-162,-9,23
-195,-121,72,-51,40,87,-136,61,-134|-138,-91,-159,85,-58,-145,-12,5,-124
132,-88,116,88,-200|-116,-156,-32,96,45
62,4,-22,-182,-76,34,-28|16,99,15,58,159,-135,29
133,180,148,77,-186,-106|136,-119,-61,35,167,51
199,104,49,-19,-70,-178,70,176,57|-101,-96,5,-10,85,119,115,-68,-29
116,-144,9,-58,4,68|178,115,18,10,153,155
61,-166,126,-44|96,146,5,-9
-85,106,-152,53,175|-134,157,-45,-55,-101
49,124,185,-99,-60,176,4|187,57,-9,-10,-158,62,-78
90,117,77,181,153,-135,147|-153,-184,121,117,-138,-11,-60
198,139,54,138,25|96,105,-185,-29,-180
-112,138,-122,85,30,151|81,158,11,-142,97,198
52,49,-128,199,-142,-109|-150,-88,139,-89,-54,-31
45,-74,103,-92,28,18,54|195,23,-7,162,118,-19,134
41|-65
97,-128,-63,-32|-192,-36,-82,-17
126|198
133,-182,56,24|-139,-13,4,-58
113|-195
128,20,48,-115,152,-64,-157,188,-152,-114|-52,-141,77,72,-48,136,7,184,83,17
60|129
1,62,-108,172,-81,112,-160,44,198,-173|58,27,-152,-142,182,-127,-22,-109,30,176
113,-39,-123,19,36|16,-47,-193,186,137
15,-35,-44,65,-65|-4,74,-123,-105,74
196,95|25,51
83,-94,-101,190,-124|-117,83,66,99,-7
123,-69,62,-146,-9,-34,56|-82,-3,-139,-134,-200,164,24
83,-164,93,35,63,-34,-125,29,125,161|114,194,-120,152,147,62,138,106,120,-159
-22,-146,-128,-116,-195|93,34,166,-104,-188
81,91,-99|-91,-164,-8
-48,4,-45|95,-51,-56
-93,-134|-81,38
92,-76,-132,-146|134,138,-95,167
-170,93,-170,-182,-119|43,-195,99,86,185
-84,0,-128|45,166,-199
-195,41,-78,98,148,184|60,6,-62,-37,169,-129
184,-98,-109,156,-70,114|-38,-187,-184,98,13,-118
85,-138,-40,-41,127,135,-38,150|-33,197,-14,112,15,80,-44,189
-140,160,-124,-130|-94,87,154,126
76,189,-8,136,-88,182,-59,-142,71|-68,29,165,-72,-199,-115,13,-177,-98
122,57,-141|-67,54,-118
165,193,-164,86,-169,127,88,154,-126|87,-156,-174,148,180,-9,-131,-142,-116
-184,-157|-115,169
-75,-186,171,116,50,162,91|-88,32,161,155,74,-14,-170
197,65,-142,-136,146|-67,-145,170,82,130
-33,22,117,36|-143,81,-116,-31
-45|-55
-170,-146,-7,8|38,-72,65,-181
-178,-58,-158,-91|-49,154,101,180
186|-162
-166,55,13,200,-164,-18,38,-32|-90,128,-80,-182,-171,151,-127,-118
143,-28,-157,12,-154,-191,155,-148|-85,-174,-4,64,-26,32,74,-34
-95,135,-147,60,160,200,-103|-113,-102,59,167,-182,-34,-98
-149,190,189,-80,137,-129,-154|17,-51,27,165,66,-154,85
-5,165,28|42,141,-193
-169,115,-134,54,-57,-173,87,-63|-144,16,-128,149,-148,191,-153,20
-76,-22,24|-50,56,80
-190,-152,-105,169,66,-44,165|172,61,-192,-53,123,-148,114
192,-59,156,-179,-151,197,35,13,29,-191|104,-110,75,186,-199,-164,171,-169,-108,-136
58,-28,154,20,27,-168,-137,22,-54,-70|-123,158,65,-29,36,10,143,172,170,54
-17,-101|193,108
45,-78,-193|51,22,76
51,32|3,131
-196,156,7,103,-72,157,-62,-8,-76|-153,33,140,61,89,-186,59,136,-107
-126,168,98,182,-78,-145,76,190,156|195,-84,-83,68,-52,-128,-12,-159,12
95,-154|-131,104
58,3,-8,150,-30,-62,-101,195,-46|-190,116,-31,60,-198,-143,19,65,143
-145,152|-177,5
18,-77,17|72,-194,94
102,-12,-17,44,8,-34,-12,-15|11,147,-124,-195,-197,78,31,195
-23,-101,-52|-190,-91,-53
-99,-39,136,-131,161,29,14,-183,-12,73|-100,-97,101,70,38,-111,-135,-94,-190,-150
-198,13,33,-51,102,127,-104,-114,112,-78|196,146,134,177,-102,-110,-1,51,-162,33
-29,175|-85,80
-2,119,99,147,141|1,165,-5,-100,-143
-1|21
119,-88,106,-191|107,-126,-155,-73
121,-186,-2,74|165,-182,77,-160
-79,178,112,-81|-157,165,-67,-15
2,41,-30,33,-135,-164,-52,162,85,170|-161,76,115,35,32,-33,-94,84,0,-131
181,-167,121,66,-59,-12|-179,-162,-72,-84,-132,-176
109,11,175,-112,69|-19,-110,149,136,1
-84,-34,-156,-120,128,-60,23|-181,46,108,81,-84,-200,-190
111,79,-152,-112,-100,111|-141,-161,185,-147,-59,21
187,-49,198,118|-58,112,84,96
-178,-107,28,-37,-40|153,-32,-72,188,-24
180,129,-29,147,-14,92,126,-48|-158,21,-77,-168,52,-34,-37,-126
-114,-6,133|-11,195,49
-134,87,-97,-168,-47|-59,-42,10,-190,13
-187|-39
-2,54,-163,-148,132,-177|132,-41,-146,-199,-96,116
7,167,93,177,152,86|138,-115,134,159,-71,-160
68,184,23,199,-95|35,-194,1,2,22
-188,60,135,117,160|30,-82,105,3,129
158,-125,8,-140,30|-78,-83,17,-8,128
153,167,158,-53|146,-91,63,-143
-57,32,-44,-196,46,4,127,-61|-42,149,112,130,185,98,22,-96
-165,-142|52,-168
-97,-39,-123,-128,60|-175,-119,53,-114,-13
-28,-50|-114,-58
59,146,-15|-197,3,89
-80,127,-4,-199,-120,87|26,126,144,163,-117,-70
-185,19,-91,60,-175,21,18,99,-123,159|187,164,-179,121,-94,72,-90,129,-178,-139
-110,194|-37,41
-81,5,-149,162,0,-2|-51,72,-136,-74,39,-94
-23,153,-51|10,-114,-27
198,19,-94,143,-96,-37|126,105,-161,-107,-165,-130
-108,105,-42|60,59,29
157,-59,64,58,-122,116,132,58,-127|77,-136,23,-85,132,186,1,-4,127
-91,173,-76,-157|97,-122,-102,-108
37,18,144|28,162,-169
39,1|-97,66
-17|172
-150,-20,155,62,8,69,-182,28|24,17,-100,-75,-65,-89,66,-14
-38|62
10,-195,-39,16,43,51|-86,63,-190,124,2,66
-155,155,-150,-5,45,-115,-25,-119|-3,200,-101,-200,6,-138,143,-154
176,2,124,125,106,152,-165,-103|-105,-106,183,-13,92,171,-75,-2
-12,35|-121,11
114,2,-73,-1,39,153,-190,5|125,114,-146,131,-34,84,103,142
-106,-145,-120,101,85,-118,-140,-112,-154|186,-111,69,148,-181,-74,-115,32,-162
166,-160,-54,-156,4,-59,148,69|-149,-150,-172,-106,-15,52,-193,-162
71,42,116,176,99|170,85,-83,132,-151
-67,-101|151,43
151,33,42,30,151,169,2|134,-191,-58,-64,23,2,-93
-110,-69|-7,154
91,124,-21,176,-179,-127|-40,90,-91,-174,-51,28
-13,-40,79,23,-196,-30,-176,165|78,105,-145,183,161,-6,-133,-4
-174,-152,-127,132,14|194,35,85,-114,78
-5,43,-145,107,152,169,126,169,-81|-168,-45,107,-106,-182,-136,184,50,105
-91,128,-48,138,177,-23,49,-178,-94|-127,29,-3,-82,30,156,-192,-114,-126
18,94,92,162|-186,-75,-54,91
-156,57,-33,-128,-2,52,85,198,-102,6|51,-141,37,169,85,113,89,46,92,108
-81|-79
138,57|123,-65
-26,-1,-123,-153,-167,189,87,0,-199,12|-67,-90,-145,0,-102,-111,-157,163,25,31
112,-65,-196,-82,-144,82,-89,-26,44,192|-17,-157,127,-31,-95,-136,50,-54,31,-129
82,79,-165,180,150,-95|-149,124,70,-160,-132,-134
171,132,21,-25,-63,-138,-149,116,129|194,137,-33,-42,-96,53,16,174,-74
-45,75,-158,-167,-136|128,188,108,183,187
-60,41,193,-121,21,-162|-17,-186,-44,-175,17,199
-127,-152,-34,115,-51,15|-56,-39,-162,128,-140,-94
144,94,96,-45,5,119,144,1,-56,191|105,129,-195,-45,-13,-95,65,-167,-72,164
142,-77|161,-99
46,21,-126|145,182,-73
2,67,-197,147,-118,-149|-64,94,3,99,57,39
-177|83
-75,-90,-99,53,-152,-39|-112,147,193,-69,167,168
131,-9,-33,184,-97|156,171,129,9,65
129,-155,-100,7,-126,-153,-42,8,19|-43,-43,-77,196,-191,-2,-60,188,-68
32,-189,54|-180,34,127
181,37,-132,180,-86,-44,-140,28|61,-43,24,181,-185,101,-30,-116
-200,130|-84,-130
74,-90,-84,-95,-2|70,-51,-151,-106,-3
8,31,6,155,185,44,-180,190,178,-31|8,-126,198,20,91,-113,-192,-164,-147,-3
-163,78,25|118,162,80
-139,118,-55,-57|31,192,-43,-159
-81,-82,-136,-95,-167,77,58|26,107,194,5,-10,172,-77
68,-81,-79,9,96|-62,87,-19,98,62
199,-20,-98,78,-47,-163,-132,-6,136,113|-168,17,186,-100,190,-38,47,187,-174,59
-159,58,-6,78,120,92,113|-116,-190,-21,-159,29,72,-148
13,-133|-22,36
-168,60,137,-86,31,99|64,-157,80,-3,-164,119
-23,7,-174,-160,165,161,194,35|46,131,-134,154,45,54,104,34
-21|-65
7,-54,90,-67,102,118,121,-39,-182|-10,144,-151,199,-82,-29,175,-75,-134
108,-117,28,119,-3,-167|-19,17,12,127,69,15
-129,-187,103,4,76,-27,-142,73|185,-80,31,-139,-146,42,74,28
-91,128,-28,198,155,50,93|98,-87,-5,174,-176,125,56
108,-164,70|-38,8,72
126,87|6,-37
-197,-174,117,75,159|-151,-124,-180,-96,85
167,183,48,179,185,160,-136,193|24,67,-151,140,-100,17,117,136
-7,29,-86,-7,-124,-15,-172,-188,-177|76,-115,-135,76,-177,-148,27,138,159
63,-95,94,-171,73,150,-62,119,-178|32,24,123,-30,138,189,-73,138,-1
141,-75,131,-129,53,-128,155|158,-163,99,-163,144,96,136
119,21,98,-99,-149,-83,-131,-71|-129,77,-90,-185,-108,-118,-194,-64
-36,-81|-51,-32
85,-82,175,-16,197|10,-136,120,-192,52
183,141,66,9,57,-121,65,-93,143|120,-162,-135,31,80,-78,-200,123,129
-88,139,176,-61,187,-82|28,-89,-39,-71,-99,-110
99,4,-181,32|103,-147,109,7
118,-45,-35|-20,35,120
-170,-160,-164,-92,4,10,77,-30|-186,132,19,-169,173,-49,92,-40
112,6,-122,187,113|25,-43,-149,160,-103
-66,123|-194,-197
97|74
128|-1
196,-139,139,198|-84,-141,128,-80
170,194,177,135|12,-77,48,142
116,-30,-136,110,-141|192,-28,-52,87,51
138,36,111,-95,117,-76,-43|113,-190,17,-157,108,2,-40
-160,-33,49,127,-122,186,5,30,124,-63|70,-127,-123,-119,77,88,3,-196,-138,-152
-160,-135,63,-97,-73,-55,195,-185,17,166|-47,-110,-1,-17,40,58,9,-73,-95,80
-131,-19,-112,-116,-197,-90|128,28,108,92,9,-36
-2,-61,-131,192,130,-115,141,189|171,-127,-160,56,46,-71,26,-188
-106,56|31,122
161,10,62,-155,-50,22,-198,-7,50|-167,1,-54,20,41,-72,182,-161,60
128|-119
-95,-89,32,-152|67,72,164,185
-29,50,-7,-200,-172,103,129,173|-46,182,-17,-190,-166,-92,116,102
-94,78,-150,41|59,-179,160,25
20,67,137,119,-6,-164,-160,178,-129,-127|-55,-162,50,-7,195,144,-173,49,6,-7
-195,-154,152,-58,-140,-133,-111,-124,173|77,-138,170,-81,68,59,-41,142,150
-87,3,166,-194,-162,165,81,-139,-99|-170,-174,145,-60,185,-130,-82,-75,178
85,-24,152,63,-151,-140,-38,15,-34|-24,-94,61,34,44,-47,-113,-105,-190
-86,90,182,-73,12,-49,83|21,48,-138,-194,198,-91,-41
-152,96,-115,-87,97,-175,-63,198|-105,-39,-59,80,28,7,-185,131
46,-25,-115,67|-200,22,108,-54
-167,-198,58,35|-86,99,101,170
-38,-169|-140,135
-76,-135,14,46,-121|-51,-193,180,-82,-166
22,18|94,-90
9,187,103,20|140,166,-131,150
-140|135
92,-14,52,29,23,-144,133,-71,54|128,-87,-29,132,37,30,-139,174,43
199,70,-178,31,115,-190|45,179,-60,-163,48,150
22|-124
-172,179,113,79,-65|194,-98,-124,26,-165
188,-128,-45|6,133,84
-102,135,111,80|130,43,-149,-47
-134,106,-134,5,144,-167,200|105,-36,108,-184,137,140,-159
-147,-42,196,159,183,24,46,-153|51,20,48,115,-188,87,78,62
57,-40,25,-139,184,-170,57,18,61|-101,-154,143,36,40,23,-53,-47,87
-27,101,-96,-61,133|-65,20,-55,-108,-59
119,-114,6,-31,170,75,123,-66|121,61,82,196,19,128,87,-64
-164,-29,-143,113,-143,58,-199,82,-61|51,-126,100,42,104,-175,7,116,41
-88,17,150,138,158,198,-68,-29|34,-113,89,-50,63,163,-72,-113
35,82,-138,23,13,53,137,-131,0|-198,21,-180,-15,44,-187,159,75,73
-130,112,-123,24|-49,-100,-119,140
-136,183,-177,-157,37,-33|149,-88,-161,-43,-51,-67
-91,180,-101|110,-23,-126
-78,-70,-62,-110,153,187,-137,197,23,-91|148,73,85,-4,159,127,-59,114,-73,23
71,-159,103|-21,-186,-102
108,-96,144,158,78,-49,191,83,-28|-52,-21,-60,155,86,-17,121,-170,-17
-11,164,121,40,52|152,62,-142,-172,-109
91|-89
-38,186,72,102,-65,-194,-3,147,-36,77|111,-90,-4,-151,-77,154,-172,135,-164,-67
-98,-116,-44,6,44,27,-6,-165,123,-107|74,118,-144,164,134,-131,20,79,65,-154
-130,-17,137,-6|96,-58,-74,141
93,-198,-10,51,147,193,-12,184,-73,35|56,178,105,-116,56,63,167,-49,185,114
172,170,62|-157,191,46
-37,-19,21,48,-28,172,-95|71,148,-67,-90,-89,-93,93
28,-192|50,20
16,23,-125|-36,127,-170
-179,108,-79,-123,7,64,16,26,102,195|-111,-156,30,130,60,105,-145,63,-16,141
-22,-123,-110,5,60,-66,-2,-194,189,101|125,-22,45,76,33,60,193,106,-6,-145
110,-52,47,-111,162,-48,197,-45,21,-131|-10,0,55,-6,70,3,91,26,-69,3
-164,14,-30,-141|152,75,107,48
172|51
78,42,152|-85,55,-39
-88,-134,124,-58,-164|112,18,-141,75,-15
181,131,-196,-105,-25,-41,153,-195|-102,-97,120,59,-190,-24,175,31
188,159,24,-144,171,-122,47|151,-183,96,-172,-17,-78,47
-31,3,-55,78|-160,-63,107,195
-136,-123,17,-71,-119,-188,117,64,63|-61,-42,46,100,-95,-94,171,-141,79
-127|-182
-36,-184,24,-7,-185,169,41,184,-118|-193,151,100,196,-77,33,73,-30,-103
190,-77,34,85,196,-35|-16,102,-11,-121,10,91
-102,-194,-107,76,13,-28,-77|93,-194,175,171,-87,-26,-84
-81,35,24,145,19,-124,188|157,-179,29,45,-97,126,-25
64|106
-121,14,-102,177|-30,-44,-119,-145
-111|-70
-78,150,69,56|-197,-39,-197,64
69,-28,157,99,174,-113,-4,20|37,-85,-72,54,140,-71,45,32
-50,13,147,-45,57,162,-199,188,184,-39|51,-51,51,122,-5,-62,-182,-77,-85,-3
57,-174,-135,-112,51,112,114,183|86,131,-5,-126,-146,93,-54,153
123,164,-167,-99,-117,-1,105,133,45|59,114,145,114,-144,-113,-71,44,-118
-19,57|-37,-103
77,-156,44|-121,-104,14
131,-188,-39,137,82,129,96,160,-122,-127|-50,-199,-151,-19,-162,137,75,-185,26,-69
-171,-139,93,-134,-74|-63,-180,11,-136,-144
-134,130,-114,-153,-6,-38,26,114|172,12,14,-125,-90,176,-53,-51
148,121|-185,47
-117,-82,89,-128,-200|-159,39,181,-11,21
3,12,-181,134,-80|-120,-175,-169,172,-91
-107,-169,-125|-170,18,87
170,-175,2,99,-98|81,31,-49,26,-181
144|67
-163|-136
-18,11|-122,-7
-56,-165,66|-11,123,-69
-128,196,-158,-68,50,3|91,147,184,13,187,132
-74,54,-190,-11,-55|-169,95,139,93,117
-199,105,0,154,-110,-167,114,-187,87,199|-47,172,150,101,-140,-47,-176,54,118,11
12,199,105,-59|156,134,-43,-199
178,-103,193,-142,18,-140,23,97,-144|-123,1,34,156,-176,-54,15,-111,-129
-16|-188
-80,105,30,-39,-133,20,178,148|-9,9,-110,-33,-42,-19,-196,-22
103,-169,-117,168,-24,-6|-187,-111,33,-162,-24,179
-184,191,-54,-197,-48,-24,20|-19,190,83,-186,42,-148,-178
-57,6,-155,61,-46,100,-78,64,-7,3|183,36,83,-38,163,194,95,-135,126,52
111,-26,51,160,65,-22,138|63,-97,27,-11,-163,-79,-184
-195,-90,8,-115,-121,45|-140,138,-142,-12,-43,109
-33,-78,-166,65,-8,115,46,-128,100|81,-166,-135,165,50,96,-39,-140,-45
-162,-101,-22|-137,52,63
61,-192,-32,-28,-136,62,-115,152,-61,-193|82,-13,12,-161,115,-122,-166,95,177,-193
-188,117,164|76,-132,30
-121,197,-15,-199,-68,177|158,113,162,20,87,-52
-71,81,181,191,5,141,17|49,141,-179,-102,-29,-168,-109
20,-156,-157,124,-149,-92,-111|-122,191,-94,-133,-150,184,27
-144,128,-3|-63,77,104
-88|197
195,87,-196,-118,96,-37,27,167|-134,-64,160,6,-13,-22,117,-90
-113,-153,109,-67,-13,-58,-123,-25,87,149|188,2,-103,-109,1,93,-28,89,100,189
144,-94,-72|156,-56,-141
89,-138,94,54,85,-173,-47,-197,-98,-2|53,-129,-130,-8,14,-84,90,-37,145,-107
165,29,-96,79|91,66,164,0
-78|-53
136,-99,-182|-158,-159,59
-78,188,194,99,-36,59,-191|158,-24,-11,174,-180,144,195
-26,177,-88,84,104|176,-36,-25,159,39
127,147,186,163,95,-74,-127,-45,-119|186,-11,184,-177,-98,-56,132,186,-182
187,195,-17,-144|136,-89,-27,39
172,140,117,60,137,81|7,22,-38,22,-194,-112
105,-199|81,14
-13,-132,189,176,58,-119,-128,-108,-39|118,49,177,32,52,-117,-118,173,181
197,84,78,-3,7,-199|33,-4,-180,-69,-90,-147
-97,6,34,114,139,-84,-40,95,-180|-182,-63,81,-16,122,148,-93,166,13
-71,39,193,-134,39,-182,-49,-77,-56|106,-74,88,-193,-183,68,183,-22,47
-27|186
-130,-72,-141,96,52|117,-162,-12,-16,132
67,-177,-57,-38,124,-61|145,-168,-184,98,-26,18
161,109,-111,-50,185,137,-53,-194|-107,-112,42,89,172,-101,8,-154
-175,-78,162,32|-67,45,-151,-185
-152|-122
-79,97,54,158,-114,-156|188,-53,-11,-39,-100,-183
-50,35,4,-192,-164,-198,140,65,-189|-34,14,-130,-162,-20,-35,-42,69,-178
-140,-93,-129,-120,-79|-50,-149,-112,190,-96
-37,28,74|9,-69,-82
191,-168|117,-114
13,-173,171,123,-84,29,162,170,-186,-38|-122,19,-9,-92,160,-123,116,-85,165,178
142,-87|-120,153
-60,-191,56,-32,5,-175|-148,40,-85,-101,107,117
99,90,-156,35,-92,-108,-149,-84|0,-75,-112,-185,159,173,182,-199
186,180,0,99,137,-82,87|-77,3,-137,182,192,196,-190
-140,-186,169,-52|177,108,58,74
181,-103,33,50,-144,-60,187,196,-53,-67|-144,-168,66,-90,-111,159,-25,-163,-60,148
59,-163,-52,-122,54,72,-97,-58|-115,145,100,150,-189,-171,-134,7
157,179,172,-107,124|-85,23,-44,-62,-20
-149,172,-65,-38,-167,131,-110,-47,-168,13|78,21,-70,19,-29,-74,94,-101,55,-7
191,153,125,-162|149,-125,-68,64
-69,-98|-184,-58
39,-53|111,-172
63,-147,17,-160,-124,67,26|148,25,-46,195,185,-162,-179
-7,-41,72|34,184,-128
163,113,-38,125,70,27,-90|189,21,93,-15,-101,-95,-87
